retrieve,final,digits
-,Model,0
YEAR,Year,0
DOY,Date,0
TT,Treatment,0
DAS,,0
GWAD,Yield,1
CWAD,Biom,1
LAID,LAI,1
DRNC,WDrain,0
ETAC,CumET,0
SWXD,SoilAVW,0
ROFC,Runoff,0
EPAC,Transp,0
CNAD,CroN,0
NLCC,Nleac,0
GNAD,GrainN,0
NMNC,Nmin,0
AMLC,Nvol,0
NIMC,Nimmo,0
NIAD,SoilN,0
NDNC,Nden,0
Blank,cumPARi,0
