retrieve,final,digits
YEAR,Model,
DOY,Planting.date,
-,Treatment,
HWAMS,Yield,
EDAPS,Emergence,
ADAPS,Ant,
MDAPS,Mat,
-,FLN,
G#AD,GNumber,
-,Biom-an,
CWAMS,Biom-ma,
LAIXS,MaxLAI,
DRCM,Wdrain,
ETCP,CumET,
H2OA,SoilAvW,
ROFC,Runoff,
EPAC,Transp,
-,CroN-an,
-,CroN-ma,
NLCM,Nleac,
GNAM,GrainN,
NMNC,Nmin,
AMLC,Nvol,
NIMC,Nimmo,
NIAD,SoilN,
NDNC,Nden,
PARD,cumPARi,
